date,open,high,low,close,volume,vwap
2025-07-18,111.11,111.73,107.34,107.77,32366594.0,108.8731
2025-07-21,107.6,108.77,107.44,108.05,17010405.0,108.1703
2025-07-22,107.98,109.44,107.61,108.54,13970885.0,108.4237
2025-07-23,108.93,110.0,108.85,109.93,12002687.0,109.6443
2025-07-24,109.66,110.95,109.125,110.79,15647208.0,110.4198
2025-07-25,110.73,110.98,109.7,110.4,10548938.0,110.4113
2025-07-28,111.0,112.1078,110.84,111.44,12352966.0,111.5287
2025-07-29,111.9,113.0,111.41,112.88,15927998.0,112.3905
2025-07-30,112.41,112.61,111.26,111.9,12996905.0,111.9136
2025-07-31,110.36,112.495,110.36,111.64,17233744.0,111.8318
2025-08-01,112.0,112.54,108.86,109.64,19652030.0,109.8191
2025-08-04,109.22,109.92,107.085,107.37,19129474.0,107.8928
2025-08-05,107.22,107.8151,106.07,107.24,21314254.0,107.0768
2025-08-06,108.305,109.05,106.37,106.51,15321811.0,107.3572
2025-08-07,107.14,108.06,105.89,105.95,13468287.0,106.5428
2025-08-08,106.5,107.51,105.95,106.8,14417734.0,106.814
2025-08-11,107.11,107.5346,105.525,105.83,13570661.0,106.0474
2025-08-12,106.34,107.28,105.78,106.13,14113216.0,106.4966
2025-08-13,106.0,107.6,105.74,107.6,17958695.0,106.9399
2025-08-14,107.55,107.59,106.441,107.38,13683472.0,107.0544
2025-08-15,106.19,107.56,105.95,106.49,19271861.0,106.7171
2025-08-18,106.1,107.2276,105.67,106.72,13040018.0,106.6426
2025-08-19,106.2,107.46,106.15,107.42,16113611.0,107.0921
2025-08-20,107.88,109.33,107.68,108.53,18959716.0,108.8276
2025-08-21,108.42,109.565,107.96,109.23,12194897.0,109.0302
2025-08-22,109.6,111.41,109.6,111.28,13586668.0,110.9627
2025-08-25,110.9,111.92,110.54,111.74,9744897.0,111.5132
2025-08-26,111.37,111.81,110.355,111.49,18143880.0,111.2672
2025-08-27,111.42,112.98,111.42,112.75,15262630.0,112.547
2025-08-28,112.87,113.645,112.07,113.35,14189829.0,113.1953
2025-08-29,113.715,114.79,113.58,114.29,14597872.0,114.2985
2025-09-02,114.18,115.24,113.33,114.69,15206667.0,114.5635
2025-09-03,113.97,114.43,111.46,111.91,14920087.0,112.1685
2025-09-04,112.105,113.125,111.38,112.4,12864438.0,112.4314
2025-09-05,111.6,111.78,109.02,109.23,16826692.0,109.9242
2025-09-08,109.73,110.045,108.35,109.85,15440513.0,109.508
2025-09-09,110.525,112.51,110.525,110.65,14899502.0,111.4136
2025-09-10,111.16,112.56,110.84,112.5,15837583.0,112.1161
2025-09-11,111.4,112.765,110.87,112.14,11534502.0,112.2923
2025-09-12,112.86,113.22,111.875,112.16,11105690.0,112.232
2025-09-15,112.18,112.455,111.315,112.35,12880487.0,112.143
2025-09-16,112.955,115.315,112.775,114.68,17208044.0,114.4497
2025-09-17,114.525,115.485,114.05,115.29,13302030.0,115.0959
2025-09-18,115.17,115.35,113.4,113.93,14628726.0,114.1504
2025-09-19,113.9,113.98,112.64,112.82,38746517.0,113.0252
2025-09-22,112.45,112.8,111.56,112.02,15611495.0,112.0286
2025-09-23,112.72,114.7488,112.475,113.95,25369106.0,114.1311
2025-09-24,114.57,115.76,114.47,114.56,14756050.0,114.9311
2025-09-25,114.64,115.8999,114.41,115.59,15012553.0,115.4311
2025-09-26,115.96,118.36,115.92,117.22,18568916.0,117.4929
2025-09-29,116.06,116.5,113.665,114.22,19189260.0,114.4136
2025-09-30,113.35,113.49,111.9393,112.75,18076211.0,112.6802
2025-10-01,112.56,113.02,111.2925,111.99,16613992.0,112.0088
2025-10-02,111.97,113.09,111.025,111.29,13062563.0,111.7612
2025-10-03,111.9,113.745,111.9,113.26,12950118.0,113.1963
2025-10-06,113.29,114.77,113.18,114.2,12036830.0,114.1834
2025-10-07,114.07,114.51,111.74,114.26,11945032.0,113.576
2025-10-08,114.38,115.01,113.41,114.02,12300968.0,114.2449
2025-10-09,114.425,115.51,112.735,112.91,10976215.0,113.6236
2025-10-10,112.255,112.62,110.71,110.73,13811577.0,111.4413
2025-10-13,111.54,112.3,111.315,112.24,10296499.0,111.8773
2025-10-14,110.755,112.962,110.71,112.29,11167154.0,112.2981
2025-10-15,112.8,113.57,110.97,111.61,12182935.0,111.9533
2025-10-16,111.88,112.19,110.385,110.64,11782202.0,111.0534
2025-10-17,111.63,112.91,111.18,112.24,13460069.0,112.1846
2025-10-20,112.0,113.15,111.98,112.7,9523617.0,112.5358
2025-10-21,112.89,113.3601,111.99,112.71,9202349.0,112.7282
2025-10-22,113.45,115.18,113.08,114.71,12920958.0,114.2715
2025-10-23,116.63,116.85,115.36,115.98,14977514.0,116.0861
2025-10-24,116.35,116.47,115.18,115.39,9903303.0,115.5672
2025-10-27,115.695,115.985,115.1,115.94,10975412.0,115.651
2025-10-28,115.49,116.18,114.99,115.03,9535211.0,115.3136
2025-10-29,114.92,117.05,114.81,116.45,12570572.0,116.3947
2025-10-30,116.425,116.52,114.53,114.69,16172943.0,115.4539
2025-10-31,113.975,115.225,112.6225,114.36,20213352.0,114.1262
2025-11-03,114.5,114.99,113.64,113.76,12290304.0,114.1797
2025-11-04,113.38,114.3501,112.51,114.14,16860741.0,113.8848
2025-11-05,114.09,115.18,113.67,113.68,12400921.0,114.2233
2025-11-06,113.64,114.935,113.64,114.5,14219654.0,114.3815
2025-11-07,115.21,117.505,114.9,117.22,17181149.0,117.0592
2025-11-10,117.44,118.45,115.455,118.22,13047958.0,117.5018
2025-11-11,118.83,120.8099,118.83,119.78,16076801.0,120.0276
2025-11-12,119.1,119.28,117.79,118.12,13790889.0,118.5825
2025-11-13,118.63,119.76,118.28,118.79,17223879.0,118.9534
2025-11-14,118.45,119.48,116.6564,119.29,17039622.0,118.7619
2025-11-17,118.97,119.5,117.11,117.68,15989092.0,118.3718
2025-11-18,117.26,119.48,116.48,119.03,15808518.0,118.5726
2025-11-19,116.85,118.18,115.93,117.35,15865886.0,117.2363
2025-11-20,117.98,119.005,116.74,117.02,14321850.0,117.6089
2025-11-21,116.99,117.38,115.65,117.08,15667596.0,116.843
